"ISO3","countryname","year","rGDP","unemp","CPI"
"IND","India",2003,50780500,NA,62.094978
"IND","India",2004,54803800,NA,64.577248
"IND","India",2005,59146100,2.3,66.952904
"IND","India",2006,63913800,NA,71.463173
"IND","India",2007,68810096,NA,75.693001
"IND","India",2008,70934000,NA,82.664673
"IND","India",2009,76510800,NA,91.433739
"IND","India",2010,83012400,2,100
"IND","India",2011,87363296,NA,108.11199
"IND","India",2012,92130200,2.0999999,118.97626
"IND","India",2013,98013696,NA,130.13953
"IND","India",2014,105276704,NA,137.73003
"IND","India",2015,113694896,NA,144.48964
"IND","India",2016,123081904,NA,151.02791
"IND","India",2017,131445800,NA,156.44556
"IND","India",2018,139929104,6,161.78557
"IND","India",2019,145346400,5.8000002,169.50238
"IND","India",2020,136948704,4.8000002,179.95064
"IND","India",2021,150218496,4.1999998,189.85884
"IND","India",2022,160714304,4.0999999,202.49039
"IND","India",2023,173817200,3.2,213.3454
"IND","India",2024,186020096,NA,222.67648
"IND","India",2025,198038144,NA,231.80016
"IND","India",2026,210851664,NA,241.28424
"IND","India",2027,224514240,NA,250.93636
"IND","India",2028,239083008,NA,260.97321
"IND","India",2029,254619040,NA,271.41217
"IND","India",2030,NA,NA,NA
"PAK","Pakistan",1800,NA,NA,NA
"PAK","Pakistan",1801,NA,NA,NA
"PAK","Pakistan",1802,NA,NA,NA
"PAK","Pakistan",1803,NA,NA,NA
"PAK","Pakistan",1804,NA,NA,NA
"PAK","Pakistan",1805,NA,NA,NA
"PAK","Pakistan",1806,NA,NA,NA
"PAK","Pakistan",1807,NA,NA,NA
"PAK","Pakistan",1808,NA,NA,NA
"PAK","Pakistan",1809,NA,NA,NA
"PAK","Pakistan",1810,NA,NA,NA
"PAK","Pakistan",1811,NA,NA,NA
"PAK","Pakistan",1812,NA,NA,NA
"PAK","Pakistan",1813,NA,NA,NA
"PAK","Pakistan",1814,NA,NA,NA
"PAK","Pakistan",1815,NA,NA,NA
"PAK","Pakistan",1816,NA,NA,NA
"PAK","Pakistan",1817,NA,NA,NA
"PAK","Pakistan",1818,NA,NA,NA
"PAK","Pakistan",1819,NA,NA,NA
"PAK","Pakistan",1820,NA,NA,NA
"PAK","Pakistan",1821,NA,NA,NA
"PAK","Pakistan",1822,NA,NA,NA
"PAK","Pakistan",1823,NA,NA,NA
"PAK","Pakistan",1824,NA,NA,NA
"PAK","Pakistan",1825,NA,NA,NA
"PAK","Pakistan",1826,NA,NA,NA
"PAK","Pakistan",1827,NA,NA,NA
"PAK","Pakistan",1828,NA,NA,NA
"PAK","Pakistan",1829,NA,NA,NA
"PAK","Pakistan",1830,NA,NA,NA
"PAK","Pakistan",1831,NA,NA,NA
"PAK","Pakistan",1832,NA,NA,NA
"PAK","Pakistan",1833,NA,NA,NA
"PAK","Pakistan",1834,NA,NA,NA
"PAK","Pakistan",1835,NA,NA,NA
"PAK","Pakistan",1836,NA,NA,NA
"PAK","Pakistan",1837,NA,NA,NA
"PAK","Pakistan",1838,NA,NA,NA
"PAK","Pakistan",1839,NA,NA,NA
"PAK","Pakistan",1840,NA,NA,NA
"PAK","Pakistan",1841,NA,NA,NA
"PAK","Pakistan",1842,NA,NA,NA
"PAK","Pakistan",1843,NA,NA,NA
