Date,Series Name,Output,Unit,Observation Status,Observation Status Comment
02/1995,Total Cement Sales,650.8,Thousand Metric Ton,Normal,
02/1995, Domestic Cement Sales,650.8,Thousand Metric Ton,Normal,
02/1995,Export Cement Sales,,Thousand Metric Ton,Missing value,
03/1995,Total Cement Sales,621,Thousand Metric Ton,Normal,
03/1995, Domestic Cement Sales,621,Thousand Metric Ton,Normal,
03/1995,Export Cement Sales,,Thousand Metric Ton,Missing value,
04/1995,Total Cement Sales,843.8,Thousand Metric Ton,Normal,
04/1995, Domestic Cement Sales,843.8,Thousand Metric Ton,Normal,
04/1995,Export Cement Sales,,Thousand Metric Ton,Missing value,
05/1995,Total Cement Sales,748.7,Thousand Metric Ton,Normal,
05/1995, Domestic Cement Sales,748.7,Thousand Metric Ton,Normal,
05/1995,Export Cement Sales,,Thousand Metric Ton,Missing value,
06/1995,Total Cement Sales,764.2,Thousand Metric Ton,Normal,
06/1995, Domestic Cement Sales,764.2,Thousand Metric Ton,Normal,
06/1995,Export Cement Sales,,Thousand Metric Ton,Missing value,
07/1995,Total Cement Sales,722.1,Thousand Metric Ton,Normal,
07/1995, Domestic Cement Sales,722.1,Thousand Metric Ton,Normal,
07/1995,Export Cement Sales,,Thousand Metric Ton,Missing value,
08/1995,Total Cement Sales,732.6,Thousand Metric Ton,Normal,
08/1995, Domestic Cement Sales,732.6,Thousand Metric Ton,Normal,
08/1995,Export Cement Sales,,Thousand Metric Ton,Missing value,
09/1995,Total Cement Sales,766.3,Thousand Metric Ton,Normal,
09/1995, Domestic Cement Sales,766.3,Thousand Metric Ton,Normal,
09/1995,Export Cement Sales,,Thousand Metric Ton,Missing value,
10/1995,Total Cement Sales,861,Thousand Metric Ton,Normal,
10/1995, Domestic Cement Sales,861,Thousand Metric Ton,Normal,
10/1995,Export Cement Sales,,Thousand Metric Ton,Missing value,
11/1995,Total Cement Sales,839.4,Thousand Metric Ton,Normal,
11/1995, Domestic Cement Sales,839.4,Thousand Metric Ton,Normal,
11/1995,Export Cement Sales,,Thousand Metric Ton,Missing value,
12/1995,Total Cement Sales,782.1,Thousand Metric Ton,Normal,
12/1995, Domestic Cement Sales,782.1,Thousand Metric Ton,Normal,
12/1995,Export Cement Sales,,Thousand Metric Ton,Missing value,
01/1996,Total Cement Sales,761.9,Thousand Metric Ton,Normal,
01/1996, Domestic Cement Sales,761.9,Thousand Metric Ton,Normal,
01/1996,Export Cement Sales,,Thousand Metric Ton,Missing value,
02/1996,Total Cement Sales,647.8,Thousand Metric Ton,Normal,
02/1996, Domestic Cement Sales,647.8,Thousand Metric Ton,Normal,
02/1996,Export Cement Sales,,Thousand Metric Ton,Missing value,
03/1996,Total Cement Sales,883.6,Thousand Metric Ton,Normal,
03/1996, Domestic Cement Sales,883.6,Thousand Metric Ton,Normal,
03/1996,Export Cement Sales,,Thousand Metric Ton,Missing value,
04/1996,Total Cement Sales,844.2,Thousand Metric Ton,Normal,
04/1996, Domestic Cement Sales,844.2,Thousand Metric Ton,Normal,
04/1996,Export Cement Sales,,Thousand Metric Ton,Missing value,
05/1996,Total Cement Sales,817.9,Thousand Metric Ton,Normal,
05/1996, Domestic Cement Sales,817.9,Thousand Metric Ton,Normal,
05/1996,Export Cement Sales,,Thousand Metric Ton,Missing value,
06/1996,Total Cement Sales,801.5,Thousand Metric Ton,Normal,
06/1996, Domestic Cement Sales,801.5,Thousand Metric Ton,Normal,
06/1996,Export Cement Sales,,Thousand Metric Ton,Missing value,
07/1996,Total Cement Sales,752.8,Thousand Metric Ton,Normal,
07/1996, Domestic Cement Sales,752.8,Thousand Metric Ton,Normal,
07/1996,Export Cement Sales,,Thousand Metric Ton,Missing value,
08/1996,Total Cement Sales,853.3,Thousand Metric Ton,Normal,
08/1996, Domestic Cement Sales,853.3,Thousand Metric Ton,Normal,
08/1996,Export Cement Sales,,Thousand Metric Ton,Missing value,
09/1996,Total Cement Sales,840.6,Thousand Metric Ton,Normal,
09/1996, Domestic Cement Sales,840.6,Thousand Metric Ton,Normal,
09/1996,Export Cement Sales,,Thousand Metric Ton,Missing value,
10/1996,Total Cement Sales,863.9,Thousand Metric Ton,Normal,
10/1996, Domestic Cement Sales,863.9,Thousand Metric Ton,Normal,
10/1996,Export Cement Sales,,Thousand Metric Ton,Missing value,
11/1996,Total Cement Sales,820.3,Thousand Metric Ton,Normal,
11/1996, Domestic Cement Sales,820.3,Thousand Metric Ton,Normal,
11/1996,Export Cement Sales,,Thousand Metric Ton,Missing value,
12/1996,Total Cement Sales,769.9,Thousand Metric Ton,Normal,
12/1996, Domestic Cement Sales,769.9,Thousand Metric Ton,Normal,
12/1996,Export Cement Sales,,Thousand Metric Ton,Missing value,
01/1997,Total Cement Sales,722.3,Thousand Metric Ton,Normal,
01/1997, Domestic Cement Sales,722.3,Thousand Metric Ton,Normal,
01/1997,Export Cement Sales,,Thousand Metric Ton,Missing value,
02/1997,Total Cement Sales,602.6,Thousand Metric Ton,Normal,
02/1997, Domestic Cement Sales,602.6,Thousand Metric Ton,Normal,
02/1997,Export Cement Sales,,Thousand Metric Ton,Missing value,
03/1997,Total Cement Sales,878.4,Thousand Metric Ton,Normal,
03/1997, Domestic Cement Sales,878.4,Thousand Metric Ton,Normal,
03/1997,Export Cement Sales,,Thousand Metric Ton,Missing value,
04/1997,Total Cement Sales,819.4,Thousand Metric Ton,Normal,
04/1997, Domestic Cement Sales,819.4,Thousand Metric Ton,Normal,
04/1997,Export Cement Sales,,Thousand Metric Ton,Missing value,
05/1997,Total Cement Sales,805.2,Thousand Metric Ton,Normal,
05/1997, Domestic Cement Sales,805.2,Thousand Metric Ton,Normal,
05/1997,Export Cement Sales,,Thousand Metric Ton,Missing value,
06/1997,Total Cement Sales,816.1,Thousand Metric Ton,Normal,
06/1997, Domestic Cement Sales,816.1,Thousand Metric Ton,Normal,
06/1997,Export Cement Sales,,Thousand Metric Ton,Missing value,
07/1997,Total Cement Sales,820.9,Thousand Metric Ton,Normal,
07/1997, Domestic Cement Sales,820.9,Thousand Metric Ton,Normal,
07/1997,Export Cement Sales,,Thousand Metric Ton,Missing value,
08/1997,Total Cement Sales,721,Thousand Metric Ton,Normal,
08/1997, Domestic Cement Sales,721,Thousand Metric Ton,Normal,
08/1997,Export Cement Sales,,Thousand Metric Ton,Missing value,
09/1997,Total Cement Sales,859.6,Thousand Metric Ton,Normal,
09/1997, Domestic Cement Sales,859.6,Thousand Metric Ton,Normal,
09/1997,Export Cement Sales,,Thousand Metric Ton,Missing value,
10/1997,Total Cement Sales,874.6,Thousand Metric Ton,Normal,
10/1997, Domestic Cement Sales,874.6,Thousand Metric Ton,Normal,
10/1997,Export Cement Sales,,Thousand Metric Ton,Missing value,
11/1997,Total Cement Sales,765.6,Thousand Metric Ton,Normal,
11/1997, Domestic Cement Sales,765.6,Thousand Metric Ton,Normal,
11/1997,Export Cement Sales,,Thousand Metric Ton,Missing value,
12/1997,Total Cement Sales,833.6,Thousand Metric Ton,Normal,
12/1997, Domestic Cement Sales,833.6,Thousand Metric Ton,Normal,
12/1997,Export Cement Sales,,Thousand Metric Ton,Missing value,
01/1998,Total Cement Sales,598.1,Thousand Metric Ton,Normal,
01/1998, Domestic Cement Sales,598.1,Thousand Metric Ton,Normal,
01/1998,Export Cement Sales,,Thousand Metric Ton,Missing value,
02/1998,Total Cement Sales,593.9,Thousand Metric Ton,Normal,
02/1998, Domestic Cement Sales,593.9,Thousand Metric Ton,Normal,
02/1998,Export Cement Sales,,Thousand Metric Ton,Missing value,
03/1998,Total Cement Sales,792.4,Thousand Metric Ton,Normal,
03/1998, Domestic Cement Sales,792.4,Thousand Metric Ton,Normal,
03/1998,Export Cement Sales,,Thousand Metric Ton,Missing value,
04/1998,Total Cement Sales,721,Thousand Metric Ton,Normal,
04/1998, Domestic Cement Sales,721,Thousand Metric Ton,Normal,
04/1998,Export Cement Sales,,Thousand Metric Ton,Missing value,
05/1998,Total Cement Sales,700,Thousand Metric Ton,Normal,
05/1998, Domestic Cement Sales,700,Thousand Metric Ton,Normal,
05/1998,Export Cement Sales,,Thousand Metric Ton,Missing value,
06/1998,Total Cement Sales,826.1,Thousand Metric Ton,Normal,
06/1998, Domestic Cement Sales,826.1,Thousand Metric Ton,Normal,
06/1998,Export Cement Sales,,Thousand Metric Ton,Missing value,
07/1998,Total Cement Sales,1050.3,Thousand Metric Ton,Normal,
07/1998, Domestic Cement Sales,1050.3,Thousand Metric Ton,Normal,
07/1998,Export Cement Sales,,Thousand Metric Ton,Missing value,
08/1998,Total Cement Sales,1007.9,Thousand Metric Ton,Normal,
08/1998, Domestic Cement Sales,1007.9,Thousand Metric Ton,Normal,
08/1998,Export Cement Sales,,Thousand Metric Ton,Missing value,
09/1998,Total Cement Sales,791.2,Thousand Metric Ton,Normal,
09/1998, Domestic Cement Sales,791.2,Thousand Metric Ton,Normal,
09/1998,Export Cement Sales,,Thousand Metric Ton,Missing value,
10/1998,Total Cement Sales,727.1,Thousand Metric Ton,Normal,
10/1998, Domestic Cement Sales,727.1,Thousand Metric Ton,Normal,
10/1998,Export Cement Sales,,Thousand Metric Ton,Missing value,
11/1998,Total Cement Sales,774.5,Thousand Metric Ton,Normal,
11/1998, Domestic Cement Sales,774.5,Thousand Metric Ton,Normal,
11/1998,Export Cement Sales,,Thousand Metric Ton,Missing value,
12/1998,Total Cement Sales,741.4,Thousand Metric Ton,Normal,
12/1998, Domestic Cement Sales,741.4,Thousand Metric Ton,Normal,
12/1998,Export Cement Sales,,Thousand Metric Ton,Missing value,
01/1999,Total Cement Sales,542,Thousand Metric Ton,Normal,
01/1999, Domestic Cement Sales,542,Thousand Metric Ton,Normal,
01/1999,Export Cement Sales,,Thousand Metric Ton,Missing value,
02/1999,Total Cement Sales,617.4,Thousand Metric Ton,Normal,
02/1999, Domestic Cement Sales,617.4,Thousand Metric Ton,Normal,
02/1999,Export Cement Sales,,Thousand Metric Ton,Missing value,
03/1999,Total Cement Sales,764.9,Thousand Metric Ton,Normal,
03/1999, Domestic Cement Sales,764.9,Thousand Metric Ton,Normal,
03/1999,Export Cement Sales,,Thousand Metric Ton,Missing value,
04/1999,Total Cement Sales,788.1,Thousand Metric Ton,Normal,
04/1999, Domestic Cement Sales,788.1,Thousand Metric Ton,Normal,
04/1999,Export Cement Sales,,Thousand Metric Ton,Missing value,
05/1999,Total Cement Sales,898.7,Thousand Metric Ton,Normal,
05/1999, Domestic Cement Sales,898.7,Thousand Metric Ton,Normal,
05/1999,Export Cement Sales,,Thousand Metric Ton,Missing value,
06/1999,Total Cement Sales,886.4,Thousand Metric Ton,Normal,
06/1999, Domestic Cement Sales,886.4,Thousand Metric Ton,Normal,
06/1999,Export Cement Sales,,Thousand Metric Ton,Missing value,
07/1999,Total Cement Sales,826.9,Thousand Metric Ton,Normal,
07/1999, Domestic Cement Sales,826.9,Thousand Metric Ton,Normal,
07/1999,Export Cement Sales,,Thousand Metric Ton,Missing value,
08/1999,Total Cement Sales,854.6,Thousand Metric Ton,Normal,
08/1999, Domestic Cement Sales,854.6,Thousand Metric Ton,Normal,
08/1999,Export Cement Sales,,Thousand Metric Ton,Missing value,
09/1999,Total Cement Sales,896.6,Thousand Metric Ton,Normal,
09/1999, Domestic Cement Sales,896.6,Thousand Metric Ton,Normal,
09/1999,Export Cement Sales,,Thousand Metric Ton,Missing value,
10/1999,Total Cement Sales,868.9,Thousand Metric Ton,Normal,
10/1999, Domestic Cement Sales,868.9,Thousand Metric Ton,Normal,
10/1999,Export Cement Sales,,Thousand Metric Ton,Missing value,
11/1999,Total Cement Sales,821,Thousand Metric Ton,Normal,
11/1999, Domestic Cement Sales,821,Thousand Metric Ton,Normal,
11/1999,Export Cement Sales,,Thousand Metric Ton,Missing value,
12/1999,Total Cement Sales,819.5,Thousand Metric Ton,Normal,
12/1999, Domestic Cement Sales,819.5,Thousand Metric Ton,Normal,
12/1999,Export Cement Sales,,Thousand Metric Ton,Missing value,
01/2000,Total Cement Sales,596.3,Thousand Metric Ton,Normal,
01/2000, Domestic Cement Sales,596.3,Thousand Metric Ton,Normal,
01/2000,Export Cement Sales,,Thousand Metric Ton,Missing value,
02/2000,Total Cement Sales,848.8,Thousand Metric Ton,Normal,
02/2000, Domestic Cement Sales,848.8,Thousand Metric Ton,Normal,
02/2000,Export Cement Sales,,Thousand Metric Ton,Missing value,
03/2000,Total Cement Sales,855,Thousand Metric Ton,Normal,
03/2000, Domestic Cement Sales,855,Thousand Metric Ton,Normal,
03/2000,Export Cement Sales,,Thousand Metric Ton,Missing value,
04/2000,Total Cement Sales,811.6,Thousand Metric Ton,Normal,
04/2000, Domestic Cement Sales,811.6,Thousand Metric Ton,Normal,
04/2000,Export Cement Sales,,Thousand Metric Ton,Missing value,
05/2000,Total Cement Sales,822.4,Thousand Metric Ton,Normal,
05/2000, Domestic Cement Sales,822.4,Thousand Metric Ton,Normal,
05/2000,Export Cement Sales,,Thousand Metric Ton,Missing value,
06/2000,Total Cement Sales,890.5,Thousand Metric Ton,Normal,
06/2000, Domestic Cement Sales,890.5,Thousand Metric Ton,Normal,
06/2000,Export Cement Sales,,Thousand Metric Ton,Missing value,
07/2000,Total Cement Sales,790.7,Thousand Metric Ton,Normal,
07/2000, Domestic Cement Sales,790.7,Thousand Metric Ton,Normal,
07/2000,Export Cement Sales,,Thousand Metric Ton,Missing value,
08/2000,Total Cement Sales,860.6,Thousand Metric Ton,Normal,
08/2000, Domestic Cement Sales,860.6,Thousand Metric Ton,Normal,
08/2000,Export Cement Sales,,Thousand Metric Ton,Missing value,
09/2000,Total Cement Sales,851.1,Thousand Metric Ton,Normal,
09/2000, Domestic Cement Sales,851.1,Thousand Metric Ton,Normal,
09/2000,Export Cement Sales,,Thousand Metric Ton,Missing value,
10/2000,Total Cement Sales,934.7,Thousand Metric Ton,Normal,
10/2000, Domestic Cement Sales,934.7,Thousand Metric Ton,Normal,
10/2000,Export Cement Sales,,Thousand Metric Ton,Missing value,
11/2000,Total Cement Sales,968.9,Thousand Metric Ton,Normal,
11/2000, Domestic Cement Sales,968.9,Thousand Metric Ton,Normal,
11/2000,Export Cement Sales,,Thousand Metric Ton,Missing value,
12/2000,Total Cement Sales,651.5,Thousand Metric Ton,Normal,
12/2000, Domestic Cement Sales,651.5,Thousand Metric Ton,Normal,
12/2000,Export Cement Sales,,Thousand Metric Ton,Missing value,
01/2001,Total Cement Sales,891.7,Thousand Metric Ton,Normal,
01/2001, Domestic Cement Sales,891.7,Thousand Metric Ton,Normal,
01/2001,Export Cement Sales,,Thousand Metric Ton,Missing value,
02/2001,Total Cement Sales,875,Thousand Metric Ton,Normal,
02/2001, Domestic Cement Sales,875,Thousand Metric Ton,Normal,
02/2001,Export Cement Sales,,Thousand Metric Ton,Missing value,
03/2001,Total Cement Sales,602.5,Thousand Metric Ton,Normal,
03/2001, Domestic Cement Sales,602.5,Thousand Metric Ton,Normal,
03/2001,Export Cement Sales,,Thousand Metric Ton,Missing value,
04/2001,Total Cement Sales,833.7,Thousand Metric Ton,Normal,
