company, (Intercept)," lag(logS, 1)"," lag(logS, 2)"," lag(logS, 3)"," lag(logS, 4)"," lag(logS, 5)"," lag(CDS, 1)"," lag(CDS, 2)"," lag(CDS, 3)"," lag(CDS, 4)"," lag(CDS, 5)", SPY, L, Q, VIX, VIX_var, MC, U, D,std.error_(Intercept),"std.error_lag(logS, 1)","std.error_lag(logS, 2)","std.error_lag(logS, 3)","std.error_lag(logS, 4)","std.error_lag(logS, 5)","std.error_lag(CDS, 1)","std.error_lag(CDS, 2)","std.error_lag(CDS, 3)","std.error_lag(CDS, 4)","std.error_lag(CDS, 5)",std.error_SPY,std.error_L,std.error_Q,std.error_VIX,std.error_VIX_var,std.error_MC,std.error_U,std.error_D,statistic_(Intercept),"statistic_lag(logS, 1)","statistic_lag(logS, 2)","statistic_lag(logS, 3)","statistic_lag(logS, 4)","statistic_lag(logS, 5)","statistic_lag(CDS, 1)","statistic_lag(CDS, 2)","statistic_lag(CDS, 3)","statistic_lag(CDS, 4)","statistic_lag(CDS, 5)",statistic_SPY,statistic_L,statistic_Q,statistic_VIX,statistic_VIX_var,statistic_MC,statistic_U,statistic_D,p.value_(Intercept),"p.value_lag(logS, 1)","p.value_lag(logS, 2)","p.value_lag(logS, 3)","p.value_lag(logS, 4)","p.value_lag(logS, 5)","p.value_lag(CDS, 1)","p.value_lag(CDS, 2)","p.value_lag(CDS, 3)","p.value_lag(CDS, 4)","p.value_lag(CDS, 5)",p.value_SPY,p.value_L,p.value_Q,p.value_VIX,p.value_VIX_var,p.value_MC,p.value_U,p.value_D
VZ,0.393,0.87,-0.004,-0.017,0.012,0.02,0,0.001,-0.001,0.001,0,-0.007,0,0.008,0,-0.035,0,NA,NA,0.029,0.022,0.029,0.029,0.029,0.021,0.002,0.002,0.002,0.002,0.002,0.002,0,0.001,0,0.003,0,NA,NA,13.337,39.707,-0.141,-0.586,0.429,0.953,0.286,0.268,-0.652,0.305,-0.068,-4.473,0.843,9.259,-2.139,-12.081,16.361,NA,NA,0,0,0.888,0.558,0.668,0.341,0.775,0.788,0.515,0.76,0.946,0,0.399,0,0.033,0,0,NA,NA
CAT,0.4,0.761,0.009,-0.069,0.006,0.026,-0.008,-0.003,-0.008,0,0.003,0.076,0.018,-0.091,0,-0.073,0,NA,NA,0.029,0.023,0.028,0.028,0.028,0.02,0.004,0.006,0.006,0.006,0.004,0.005,0.002,0.008,0,0.004,0,NA,NA,13.695,33.714,0.332,-2.435,0.2,1.316,-1.987,-0.528,-1.376,0.074,0.854,16.635,11.622,-11.614,7.41,-17.092,23.909,NA,NA,0,0,0.74,0.015,0.841,0.188,0.047,0.597,0.169,0.941,0.393,0,0,0,0,0,0,NA,NA
CVX,1.727,0.564,-0.033,0.057,-0.046,0.011,0.003,-0.005,0.002,-0.01,0.01,-0.008,0.044,-0.024,-0.001,-0.021,0,0.009,0.004,0.052,0.021,0.024,0.024,0.024,0.017,0.003,0.004,0.004,0.004,0.003,0.002,0.008,0.003,0,0.004,0,0.011,0.009,33.4,27.334,-1.413,2.419,-1.92,0.608,0.885,-1.194,0.367,-2.186,2.901,-5.042,5.446,-9.445,-21.251,-5.173,37.224,0.835,0.443,0,0,0.158,0.016,0.055,0.543,0.376,0.233,0.714,0.029,0.004,0,0,0,0,0,0,0.404,0.658
KO,1.058,0.48,-0.024,0.015,-0.007,-0.011,0.005,-0.008,0.007,-0.004,-0.003,0.067,0.014,-0.031,0,-0.015,0,-0.006,0,0.027,0.019,0.021,0.021,0.021,0.015,0.004,0.006,0.006,0.006,0.004,0.002,0.001,0.002,0,0.002,0,0.008,0.006,39.437,25.502,-1.129,0.737,-0.316,-0.771,1.064,-1.286,1.055,-0.642,-0.678,30.082,23.684,-20.655,-2.478,-6.974,46.168,-0.779,0.021,0,0,0.259,0.461,0.752,0.441,0.288,0.199,0.291,0.521,0.498,0,0,0,0.013,0,0,0.436,0.983
DIS,0.298,0.814,0.057,-0.01,-0.031,0.034,0.011,-0.009,0.004,-0.005,0.01,0.022,0.055,-0.011,-0.001,-0.058,0,-0.007,0.005,0.042,0.021,0.027,0.027,0.027,0.02,0.003,0.003,0.003,0.003,0.003,0.004,0.007,0.003,0,0.004,0,0.011,0.009,7.151,38.323,2.081,-0.373,-1.134,1.679,3.927,-2.714,1.112,-1.348,3.411,5.297,8.454,-3.915,-8.339,-14.06,18.341,-0.614,0.534,0,0,0.038,0.709,0.257,0.093,0,0.007,0.266,0.178,0.001,0,0,0,0,0,0,0.539,0.593
XOM,0.585,0.754,0.031,-0.002,-0.023,0.028,0.008,-0.001,-0.005,-0.001,0.008,0.015,0.006,-0.046,0,-0.051,0,-0.005,0.086,0.033,0.021,0.026,0.026,0.026,0.018,0.01,0.015,0.015,0.015,0.01,0.002,0.006,0.004,0,0.004,0,0.016,0.011,17.729,36.444,1.224,-0.089,-0.905,1.515,0.815,-0.039,-0.363,-0.071,0.739,7.713,1.036,-10.541,-6.14,-12.204,23.549,-0.309,7.677,0,0,0.221,0.929,0.365,0.13,0.415,0.969,0.716,0.944,0.46,0,0.3,0,0,0,0,0.757,0
HPQ,-0.16,0.944,0.005,-0.012,0.009,0.015,0.007,-0.007,0,-0.003,0.003,0.036,NA,-0.033,-0.001,-0.082,0,-0.023,NA,0.038,0.023,0.031,0.031,0.031,0.022,0.003,0.004,0.004,0.004,0.003,0.006,NA,0.009,0,0.006,0,0.021,NA,-4.185,41.628,0.163,-0.388,0.278,0.686,2.626,-1.887,0.129,-0.898,0.994,6.531,NA,-3.815,-7.072,-14.761,5.912,-1.062,NA,0,0,0.87,0.698,0.781,0.493,0.009,0.059,0.898,0.369,0.321,0,NA,0,0,0,0,0.288,NA
HD,0.161,0.963,0.022,0.009,-0.066,0.049,0.016,-0.01,-0.004,-0.013,0.011,-0.009,0,-0.01,0,-0.069,0,NA,NA,0.047,0.023,0.031,0.031,0.031,0.022,0.006,0.007,0.007,0.007,0.006,0.007,0,0.004,0,0.004,0,NA,NA,3.423,42.679,0.713,0.285,-2.159,2.189,2.759,-1.415,-0.509,-1.714,1.888,-1.311,-1.088,-2.883,-3.869,-17.795,6.397,NA,NA,0.001,0,0.476,0.776,0.031,0.029,0.006,0.157,0.611,0.087,0.059,0.19,0.277,0.004,0,0,0,NA,NA
IBM,0.81,0.685,0.043,-0.04,-0.013,0.025,0.003,0.005,-0.007,-0.011,0.016,0.051,0.002,0.024,0,-0.043,0,-0.011,-0.011,0.04,0.022,0.027,0.027,0.027,0.02,0.004,0.005,0.005,0.005,0.004,0.002,0.001,0.002,0,0.003,0,0.012,0.009,20.076,30.84,1.602,-1.485,-0.496,1.273,0.763,0.912,-1.314,-2.15,4.363,21.286,3.68,11.733,-8.441,-12.662,29.208,-0.877,-1.203,0,0,0.109,0.138,0.62,0.203,0.446,0.362,0.189,0.032,0,0,0,0,0,0,0,0.381,0.229
JNJ,1.017,0.763,0.007,-0.034,-0.04,0.062,0.003,0.005,-0.007,-0.007,0.012,-0.008,-0.005,-0.005,0,-0.033,0,NA,NA,0.043,0.021,0.027,0.027,0.027,0.019,0.004,0.005,0.005,0.005,0.004,0.003,0.001,0.001,0,0.003,0,NA,NA,23.669,35.961,0.264,-1.259,-1.481,3.306,0.701,0.89,-1.364,-1.387,3.276,-2.97,-3.793,-6.937,-5.229,-12.524,24.898,NA,NA,0,0,0.792,0.208,0.139,0.001,0.483,0.374,0.173,0.166,0.001,0.003,0,0,0,0,0,NA,NA
MCD,0.128,0.933,-0.015,0.049,-0.055,0.027,0.008,-0.008,-0.002,-0.003,0.005,0.013,0,0,0,-0.05,0,NA,-0.007,0.024,0.022,0.03,0.03,0.03,0.022,0.004,0.006,0.006,0.006,0.004,0.004,0,0.001,0,0.003,0,NA,0.007,5.395,41.839,-0.511,1.651,-1.838,1.218,1.818,-1.312,-0.4,-0.584,1.251,3.302,8.529,-0.557,2.241,-15.395,11.462,NA,-0.941,0,0,0.61,0.099,0.066,0.224,0.069,0.19,0.69,0.56,0.211,0.001,0,0.578,0.025,0,0,NA,0.347
PFE,0.407,0.621,-0.028,0.016,-0.054,0.052,0.001,-0.001,0.006,-0.015,0.008,0.08,0,-0.007,0,-0.03,0,-0.01,-0.004,0.017,0.021,0.025,0.025,0.025,0.017,0.004,0.006,0.006,0.006,0.004,0.003,0,0.001,0,0.003,0,0.008,0.007,24.17,29.866,-1.121,0.658,-2.197,2.982,0.243,-0.18,1.132,-2.611,1.864,27.744,0.576,-10.407,3.292,-9.768,35.269,-1.186,-0.585,0,0,0.263,0.511,0.028,0.003,0.808,0.857,0.258,0.009,0.062,0,0.565,0,0.001,0,0,0.236,0.559
PG,0.58,0.79,-0.022,-0.001,-0.035,0.075,0.004,-0.009,0.003,-0.009,0.014,0.018,-0.007,0.013,0,-0.028,0,NA,NA,0.033,0.022,0.028,0.028,0.028,0.02,0.004,0.005,0.005,0.005,0.004,0.003,0.002,0.004,0,0.003,0,NA,NA,17.639,35.945,-0.775,-0.037,-1.248,3.714,0.933,-1.706,0.574,-1.695,3.714,6.109,-4.294,2.897,-0.809,-10.026,20.87,NA,NA,0,0,0.438,0.97,0.212,0,0.351,0.088,0.566,0.09,0,0,0,0.004,0.418,0,0,NA,NA
T,0.313,0.921,0.05,-0.073,0.015,0.024,0.002,-0.001,-0.002,-0.002,0.004,-0.017,-0.001,0.001,0,-0.044,0,NA,-0.001,0.041,0.023,0.03,0.03,0.03,0.022,0.002,0.002,0.002,0.002,0.002,0.003,0.002,0.002,0,0.004,0,NA,0.01,7.715,40.687,1.642,-2.418,0.502,1.055,0.988,-0.37,-1.171,-1.176,2.665,-6.911,-0.366,0.829,-5.765,-11.973,8.895,NA,-0.097,0,0,0.101,0.016,0.616,0.291,0.323,0.712,0.242,0.24,0.008,0,0.715,0.407,0,0,0,NA,0.923
WMT,1.024,0.714,-0.01,-0.009,0.013,0.032,-0.001,-0.005,0.006,0.006,0.002,0.004,-0.04,-0.077,0,-0.025,0,NA,NA,0.044,0.022,0.027,0.027,0.027,0.02,0.004,0.006,0.006,0.006,0.004,0.004,0.002,0.007,0,0.003,0,NA,NA,23.201,32.452,-0.36,-0.331,0.468,1.637,-0.309,-0.788,1.005,1.06,0.358,1.128,-18.181,-10.275,-3.904,-8.258,26.887,NA,NA,0,0,0.719,0.74,0.64,0.102,0.757,0.431,0.315,0.289,0.72,0.26,0,0,0,0,0,NA,NA
CI,0.107,0.96,0.037,-0.044,-0.024,0.046,-0.002,0.006,-0.014,0.01,0.001,0.001,-0.001,-0.02,0,-0.06,0,NA,NA,0.042,0.022,0.03,0.03,0.03,0.021,0.011,0.014,0.014,0.014,0.011,0.006,0.002,0.005,0,0.005,0,NA,NA,2.517,44.152,1.236,-1.472,-0.797,2.164,-0.178,0.442,-1.022,0.721,0.101,0.207,-0.376,-4.096,-4.721,-12.219,7.174,NA,NA,0.012,0,0.217,0.141,0.425,0.031,0.859,0.658,0.307,0.471,0.919,0.836,0.707,0,0,0,0,NA,NA
MO,1.101,0.551,-0.014,-0.013,0.001,-0.004,0.001,0.004,-0.001,-0.006,0.005,0.045,0,-0.036,0,-0.019,0,-0.009,0.006,0.031,0.02,0.024,0.024,0.024,0.017,0.003,0.004,0.004,0.004,0.003,0.002,0,0.002,0,0.003,0,0.008,0.012,35.2,27.24,-0.571,-0.569,0.055,-0.266,0.404,1.02,-0.369,-1.62,2.019,22.975,-6.911,-15.765,-6.897,-6.224,40.944,-1.108,0.468,0,0,0.568,0.57,0.957,0.79,0.686,0.308,0.712,0.105,0.044,0,0,0,0,0,0,0.268,0.64
HCA,1.73,0.104,0.041,-0.011,0.013,0.037,-0.002,0.002,0,0,-0.002,0.091,NA,0.001,0,-0.008,0,NA,NA,0.251,0.036,0.037,0.037,0.037,0.029,0.001,0.002,0.002,0.002,0.001,0.035,NA,0.018,0,0.006,0,NA,NA,6.885,2.892,1.092,-0.284,0.343,1.297,-1.647,1.119,-0.077,0.02,-1.593,2.56,NA,0.08,0.253,-1.281,34.45,NA,NA,0,0.004,0.276,0.776,0.732,0.196,0.101,0.264,0.938,0.984,0.113,0.011,NA,0.936,0.8,0.202,0,NA,NA
IP,0.533,0.591,0.017,0,-0.04,0.03,0.003,0.005,-0.006,-0.006,0.008,0.079,0,0.018,0,-0.045,0,NA,NA,0.019,0.02,0.024,0.024,0.024,0.018,0.003,0.004,0.004,0.004,0.003,0.003,0,0.002,0,0.004,0,NA,NA,28.629,29.138,0.716,-0.004,-1.646,1.686,0.992,1.265,-1.437,-1.518,2.841,31.676,-1.625,10.511,-8.578,-12.339,35.394,NA,NA,0,0,0.474,0.997,0.1,0.092,0.321,0.206,0.151,0.129,0.005,0,0.104,0,0,0,0,NA,NA
RCL,1.528,0.752,-0.019,-0.106,0.102,0.006,0.003,-0.001,-0.005,0.002,0.002,-0.083,-0.002,0.003,-0.002,-0.05,0,-0.009,0.039,0.065,0.026,0.033,0.033,0.033,0.024,0.001,0.001,0.001,0.001,0.001,0.005,0.001,0.003,0,0.008,0,0.017,0.014,23.442,28.515,-0.571,-3.214,3.033,0.252,3.261,-0.67,-3.251,1.446,1.594,-16.235,-1.739,1.234,-12.405,-6.401,27.617,-0.526,2.685,0,0,0.568,0.001,0.002,0.801,0.001,0.503,0.001,0.148,0.111,0,0.082,0.217,0,0,0,0.599,0.007
HES,0.46,0.871,0.003,0.022,-0.09,0.038,0.005,-0.003,-0.001,-0.008,0.006,0.01,0,-0.007,-0.001,-0.08,0,NA,-0.051,0.045,0.025,0.032,0.032,0.032,0.023,0.001,0.002,0.002,0.002,0.001,0.004,0.002,0.001,0,0.007,0,NA,0.027,10.315,35.397,0.101,0.69,-2.79,1.645,3.157,-1.386,-0.389,-3.616,4.422,2.396,0.172,-4.692,-6.798,-11.345,17.123,NA,-1.915,0,0,0.919,0.49,0.005,0.1,0.002,0.166,0.697,0,0,0.017,0.863,0,0,0,0,NA,0.056
BSX,0.239,0.862,0.02,0.009,-0.041,0.04,0.004,-0.002,-0.002,-0.015,0.007,0.002,0,-0.021,0,-0.074,0,0.004,NA,0.031,0.022,0.029,0.029,0.029,0.021,0.005,0.007,0.007,0.007,0.005,0.004,0,0.002,0,0.004,0,0.011,NA,7.689,39.217,0.687,0.304,-1.434,1.926,0.795,-0.296,-0.24,-2.253,1.341,0.383,0.15,-8.956,-2.376,-17.745,15.444,0.309,NA,0,0,0.492,0.761,0.152,0.054,0.427,0.767,0.811,0.024,0.18,0.702,0.881,0,0.018,0,0,0.757,NA
BMY,0.401,0.962,0.002,-0.025,0.027,-0.033,0.014,0.002,-0.014,0.005,-0.004,-0.02,0,0.001,0,-0.048,0,0.003,-0.089,0.04,0.022,0.031,0.031,0.031,0.022,0.005,0.007,0.007,0.007,0.005,0.003,0,0.001,0,0.004,0,0.015,0.015,10.09,42.775,0.056,-0.822,0.866,-1.53,2.671,0.252,-1.99,0.731,-0.692,-6.811,-0.641,1.779,-6.758,-11.851,10.574,0.189,-5.82,0,0,0.956,0.411,0.387,0.126,0.008,0.801,0.047,0.465,0.489,0,0.521,0.075,0,0,0,0.85,0
CPB,1.639,0.387,-0.022,0.01,-0.005,-0.017,-0.003,0.001,-0.005,0.007,-0.004,0.03,0.001,-0.025,0,-0.01,0,0.007,0.003,0.031,0.018,0.02,0.02,0.02,0.014,0.002,0.003,0.003,0.003,0.002,0.001,0,0.003,0,0.003,0,0.01,0.007,52.057,21.305,-1.099,0.519,-0.239,-1.152,-1.604,0.259,-1.748,2.46,-2.011,28.834,4.368,-9.798,7.61,-3.998,54.992,0.725,0.444,0,0,0.272,0.604,0.811,0.249,0.109,0.796,0.081,0.014,0.044,0,0,0,0,0,0,0.469,0.657
CAG,0.007,0.988,-0.109,0.102,-0.023,0.003,0,-0.001,-0.003,0.003,0.001,0.013,-0.003,0.005,0,-0.039,0,-0.015,0.025,0.015,0.023,0.032,0.032,0.032,0.023,0.003,0.004,0.004,0.004,0.003,0.003,0.001,0.002,0,0.004,0,0.012,0.013,0.442,43.011,-3.397,3.176,-0.721,0.148,-0.12,-0.127,-0.799,0.667,0.198,4.984,-2.693,2.087,-0.946,-8.863,8.058,-1.193,2.017,0.658,0,0.001,0.002,0.471,0.882,0.905,0.899,0.424,0.505,0.843,0,0.007,0.037,0.344,0,0,0.233,0.044
GLW,0.231,0.93,0.041,-0.05,0.021,0.012,0,-0.012,0.015,-0.016,0.015,-0.008,-0.015,-0.005,0,-0.079,0,0.003,0.052,0.05,0.021,0.028,0.028,0.028,0.02,0.007,0.009,0.009,0.009,0.007,0.005,0.004,0.001,0,0.004,0,0.017,0.017,4.652,44.819,1.452,-1.794,0.742,0.584,-0.009,-1.362,1.626,-1.754,2.238,-1.415,-4.204,-3.891,-6.065,-17.79,6.502,0.187,3.013,0,0,0.147,0.073,0.458,0.56,0.992,0.174,0.104,0.08,0.025,0.157,0,0,0,0,0,0.852,0.003
DHR,-0.193,0.901,0.084,-0.052,-0.008,0.037,0,-0.002,0.007,-0.003,0.003,0.047,0.002,0,0,-0.07,0,-0.015,0.054,0.046,0.021,0.028,0.028,0.028,0.02,0.004,0.006,0.006,0.006,0.004,0.008,0.004,0.001,0,0.004,0,0.007,0.01,-4.17,43.914,3.035,-1.888,-0.302,1.844,-0.061,-0.249,1.07,-0.507,0.736,5.991,0.433,0.069,-0.414,-19.662,6.011,-2.212,5.548,0,0,0.002,0.059,0.763,0.065,0.951,0.803,0.285,0.612,0.462,0,0.665,0.945,0.679,0,0,0.027,0
TGT,0.131,0.925,-0.066,0.064,-0.012,-0.017,-0.002,-0.01,0.001,0.014,-0.009,0.04,-0.017,-0.029,0,-0.063,0,NA,0.002,0.053,0.024,0.033,0.033,0.033,0.024,0.006,0.009,0.009,0.009,0.006,0.006,0.003,0.005,0,0.005,0,NA,0.019,2.458,37.921,-1.991,1.917,-0.362,-0.699,-0.268,-1.159,0.14,1.528,-1.479,6.455,-5.083,-5.534,3.364,-12.671,13.033,NA,0.124,0.014,0,0.047,0.055,0.718,0.484,0.788,0.247,0.889,0.127,0.139,0,0,0,0.001,0,0,NA,0.901
DE,-0.19,0.899,0.067,-0.023,-0.04,0.015,0.003,-0.005,0,-0.012,0.011,0.068,0.002,0.004,0,-0.075,0,NA,NA,0.039,0.023,0.03,0.03,0.03,0.022,0.005,0.007,0.007,0.007,0.005,0.008,0,0.008,0,0.005,0,NA,NA,-4.936,39.598,2.219,-0.769,-1.323,0.679,0.658,-0.698,-0.066,-1.741,2.203,8.962,5.072,0.522,-1.201,-15.761,10.834,NA,NA,0,0,0.027,0.442,0.186,0.497,0.511,0.485,0.947,0.082,0.028,0,0,0.602,0.23,0,0,NA,NA
D,0.639,0.931,-0.029,-0.023,-0.075,0.099,0.01,0.01,-0.013,-0.023,0.018,-0.032,-0.006,-0.04,-0.001,-0.028,0,NA,-0.024,0.046,0.022,0.03,0.03,0.03,0.021,0.005,0.007,0.007,0.007,0.005,0.003,0.001,0.007,0,0.004,0,NA,0.014,13.789,42.258,-0.981,-0.779,-2.51,4.668,1.999,1.421,-1.87,-3.442,3.589,-10.947,-4.516,-6.104,-9.76,-7.699,13.895,NA,-1.693,0,0,0.327,0.436,0.012,0,0.046,0.155,0.062,0.001,0,0,0,0,0,0,0,NA,0.091
FDX,1.084,0.749,0.012,0.008,-0.005,-0.008,-0.01,0.006,0.003,0.001,-0.001,0.006,-0.008,-0.039,-0.001,-0.063,0,NA,NA,0.058,0.021,0.027,0.027,0.027,0.019,0.004,0.006,0.006,0.006,0.004,0.004,0.002,0.003,0,0.004,0,NA,NA,18.665,35.068,0.445,0.288,-0.179,-0.404,-2.509,0.966,0.504,0.216,-0.23,1.4,-3.839,-11.26,-9.891,-14.318,23.933,NA,NA,0,0,0.657,0.773,0.858,0.686,0.012,0.334,0.614,0.829,0.818,0.162,0,0,0,0,0,NA,NA
F,0.327,0.708,0.009,-0.009,-0.031,0.065,0,0,-0.001,-0.001,0.001,0.005,0.005,-0.011,-0.001,-0.053,0,0.007,0.079,0.025,0.023,0.028,0.028,0.028,0.021,0.001,0.001,0.001,0.001,0.001,0.004,0.001,0.003,0,0.005,0,0.014,0.015,13.137,31.074,0.318,-0.333,-1.089,3.156,-0.166,-0.167,-0.696,-1.028,1.772,1.453,5.459,-3.185,-13.386,-9.855,25.417,0.508,5.355,0,0,0.75,0.739,0.276,0.002,0.868,0.867,0.486,0.304,0.076,0.146,0,0.001,0,0,0,0.612,0
FCX,0.676,0.881,0.023,0.005,-0.028,0.005,-0.003,0.003,-0.002,-0.001,0.001,-0.051,-0.004,-0.013,-0.001,-0.125,0,0.034,0.024,0.069,0.025,0.032,0.032,0.033,0.024,0.001,0.001,0.001,0.001,0.001,0.007,0.001,0.003,0,0.009,0,0.019,0.024,9.785,35.224,0.723,0.152,-0.846,0.224,-3.087,2.271,-1.441,-0.555,0.938,-7.387,-3.044,-4.506,-4.943,-14.395,13.298,1.736,1.017,0,0,0.469,0.879,0.397,0.823,0.002,0.023,0.15,0.579,0.348,0,0.002,0,0,0,0,0.083,0.309
GIS,1.008,0.678,-0.043,0.017,-0.036,0.06,-0.002,0.005,-0.011,0.007,-0.002,-0.009,0.008,0.004,0,-0.024,0,NA,-0.02,0.033,0.021,0.026,0.026,0.026,0.018,0.003,0.004,0.004,0.004,0.003,0.001,0.001,0.005,0,0.003,0,NA,0.011,30.117,32.17,-1.673,0.649,-1.407,3.31,-0.781,1.114,-2.514,1.65,-0.723,-6.784,13.331,0.789,-6.349,-8.371,30.985,NA,-1.772,0,0,0.095,0.516,0.159,0.001,0.435,0.265,0.012,0.099,0.47,0,0,0.43,0,0,0,NA,0.077
HAL,0.049,0.983,-0.072,0.014,-0.029,0.024,0.007,-0.006,-0.001,-0.014,0.015,0.019,0.001,0.008,-0.001,-0.088,0,0.022,0.011,0.035,0.024,0.034,0.034,0.034,0.024,0.003,0.004,0.004,0.004,0.003,0.004,0.001,0.003,0,0.008,0,0.02,0.014,1.378,40.285,-2.132,0.425,-0.856,1.02,2.56,-1.427,-0.191,-3.447,5.545,5.061,0.967,2.647,-9,-11.658,12.524,1.093,0.772,0.168,0,0.033,0.671,0.392,0.308,0.011,0.154,0.848,0.001,0,0,0.334,0.008,0,0,0,0.274,0.44
HSY,0.46,0.805,-0.003,0.091,-0.074,0.007,0.011,0.003,-0.02,0.013,0.003,0.032,0,0.012,0,-0.03,0,NA,NA,0.028,0.022,0.028,0.028,0.028,0.02,0.009,0.012,0.012,0.012,0.009,0.003,0,0.002,0,0.003,0,NA,NA,16.279,37.252,-0.106,3.309,-2.685,0.371,1.26,0.259,-1.663,1.065,0.308,11.749,0.33,7.824,0.365,-9.098,18.847,NA,NA,0,0,0.916,0.001,0.007,0.711,0.208,0.796,0.096,0.287,0.758,0,0.742,0,0.715,0,0,NA,NA
HUM,0.265,0.876,-0.017,0.045,-0.105,0.062,-0.009,-0.024,0.032,-0.027,0.012,0.027,0.026,0.011,0,-0.047,0,NA,NA,0.04,0.022,0.029,0.029,0.029,0.021,0.009,0.011,0.012,0.011,0.009,0.006,0.003,0.004,0,0.005,0,NA,NA,6.711,39.664,-0.585,1.551,-3.583,2.955,-1.043,-2.115,2.783,-2.383,1.312,4.646,9.441,2.609,5.011,-9.485,17.098,NA,NA,0,0,0.559,0.121,0,0.003,0.297,0.035,0.005,0.017,0.19,0,0,0.009,0,0,0,NA,NA
IPG,0.408,0.633,0.02,-0.04,0.023,0.031,-0.005,-0.005,0.005,-0.018,0.008,0.037,0.007,0.001,-0.001,-0.046,0,-0.015,0.004,0.023,0.02,0.024,0.024,0.024,0.017,0.009,0.011,0.011,0.011,0.009,0.002,0.001,0.006,0,0.004,0,0.016,0.016,17.522,31.412,0.824,-1.673,0.974,1.783,-0.528,-0.496,0.45,-1.674,0.919,15.097,7.505,0.091,-14.056,-10.587,29.768,-0.94,0.235,0,0,0.41,0.094,0.33,0.075,0.597,0.62,0.653,0.094,0.358,0,0,0.928,0,0,0,0.347,0.814
K,2.201,0.197,-0.016,-0.006,0.003,-0.004,0,0,0,0,0,0.052,0.004,0.006,0,-0.001,0,NA,0.004,0.025,0.013,0.014,0.014,0.014,0.01,0,0,0,0,0,0.001,0,0.003,0,0.002,0,NA,0.006,86.42,14.834,-1.165,-0.453,0.182,-0.436,1.056,0.408,0.302,0.994,0.888,65.146,20.641,2.097,11.479,-0.914,90.536,NA,0.678,0,0,0.244,0.651,0.855,0.663,0.291,0.683,0.763,0.321,0.375,0,0,0.036,0,0.361,0,NA,0.498
KR,-0.19,0.755,-0.02,0.011,-0.022,0.033,-0.012,0.007,0,0.003,0.002,0.1,0.001,-0.056,0.001,-0.037,0,NA,NA,0.016,0.022,0.028,0.028,0.028,0.02,0.003,0.005,0.005,0.005,0.003,0.004,0.001,0.011,0,0.004,0,NA,NA,-12.019,34.412,-0.711,0.399,-0.784,1.679,-3.515,1.455,0.025,0.631,0.549,23.164,2.058,-5.049,10.735,-8.637,25.219,NA,NA,0,0,0.477,0.69,0.433,0.093,0,0.146,0.98,0.528,0.583,0,0.04,0,0,0,0,NA,NA
LEN,0.385,0.931,-0.017,-0.017,-0.041,0.071,0.001,0.001,-0.002,-0.011,0.012,-0.016,0.002,0.001,-0.001,-0.077,0,0.021,-0.028,0.067,0.024,0.031,0.031,0.031,0.024,0.002,0.002,0.002,0.002,0.002,0.009,0.003,0.001,0,0.006,0,0.016,0.023,5.78,39.04,-0.565,-0.538,-1.305,2.933,0.589,0.603,-0.679,-5.069,7.338,-1.8,0.495,1.179,-6.749,-12.947,11.307,1.285,-1.237,0,0,0.572,0.591,0.192,0.003,0.556,0.546,0.497,0,0,0.072,0.621,0.238,0,0,0,0.199,0.216
LLY,-0.114,0.953,-0.019,-0.044,0.058,-0.002,0.001,-0.001,0.017,-0.019,0.005,0.044,0,-0.003,0,-0.06,0,0.003,0.038,0.03,0.021,0.029,0.029,0.029,0.021,0.01,0.013,0.013,0.013,0.01,0.006,0,0.003,0,0.004,0,0.016,0.016,-3.773,44.455,-0.647,-1.511,1.978,-0.076,0.134,-0.089,1.347,-1.51,0.454,7.754,0.909,-1.102,4.174,-14.432,9.211,0.158,2.364,0,0,0.518,0.131,0.048,0.94,0.894,0.929,0.178,0.131,0.65,0,0.363,0.271,0,0,0,0.875,0.018
LOW,0.172,0.909,0.003,0.004,-0.025,0.016,0.022,-0.014,-0.008,-0.004,0.01,0.026,-0.001,0.003,0,-0.065,0,NA,0.021,0.05,0.023,0.031,0.031,0.031,0.022,0.006,0.008,0.008,0.008,0.006,0.007,0,0.005,0,0.005,0,NA,0.018,3.433,39.78,0.1,0.127,-0.819,0.742,3.804,-1.809,-1.032,-0.443,1.8,3.637,-8.51,0.724,-2.278,-13.812,12.017,NA,1.125,0.001,0,0.92,0.899,0.413,0.458,0,0.071,0.302,0.658,0.072,0,0,0.469,0.023,0,0,NA,0.261
MMC,-0.082,0.937,0.027,0.007,-0.086,0.072,0.002,0.014,0,-0.022,0.008,0.034,-0.001,-0.005,0,-0.06,0,-0.006,-0.045,0.03,0.021,0.028,0.029,0.029,0.021,0.004,0.005,0.005,0.005,0.004,0.005,0.001,0.002,0,0.003,0,0.012,0.012,-2.703,43.605,0.937,0.248,-2.991,3.428,0.425,2.531,-0.057,-4.134,1.923,6.37,-1.035,-3.584,-5.656,-19.846,5.163,-0.475,-3.864,0.007,0,0.349,0.804,0.003,0.001,0.671,0.011,0.955,0,0.055,0,0.301,0,0,0,0,0.635,0
