company, (Intercept)," lag(logS, 1)"," lag(logS, 2)"," lag(logS, 3)"," lag(logS, 4)"," lag(logS, 5)"," lag(CDS, 1)"," lag(CDS, 2)"," lag(CDS, 3)"," lag(CDS, 4)"," lag(CDS, 5)", SPY, L, Q, VIX, VIX_var, MC, U, D,std.error_(Intercept),"std.error_lag(logS, 1)","std.error_lag(logS, 2)","std.error_lag(logS, 3)","std.error_lag(logS, 4)","std.error_lag(logS, 5)","std.error_lag(CDS, 1)","std.error_lag(CDS, 2)","std.error_lag(CDS, 3)","std.error_lag(CDS, 4)","std.error_lag(CDS, 5)",std.error_SPY,std.error_L,std.error_Q,std.error_VIX,std.error_VIX_var,std.error_MC,std.error_U,std.error_D,statistic_(Intercept),"statistic_lag(logS, 1)","statistic_lag(logS, 2)","statistic_lag(logS, 3)","statistic_lag(logS, 4)","statistic_lag(logS, 5)","statistic_lag(CDS, 1)","statistic_lag(CDS, 2)","statistic_lag(CDS, 3)","statistic_lag(CDS, 4)","statistic_lag(CDS, 5)",statistic_SPY,statistic_L,statistic_Q,statistic_VIX,statistic_VIX_var,statistic_MC,statistic_U,statistic_D,p.value_(Intercept),"p.value_lag(logS, 1)","p.value_lag(logS, 2)","p.value_lag(logS, 3)","p.value_lag(logS, 4)","p.value_lag(logS, 5)","p.value_lag(CDS, 1)","p.value_lag(CDS, 2)","p.value_lag(CDS, 3)","p.value_lag(CDS, 4)","p.value_lag(CDS, 5)",p.value_SPY,p.value_L,p.value_Q,p.value_VIX,p.value_VIX_var,p.value_MC,p.value_U,p.value_D
UPS,0.925,0.758,-0.027,0.004,-0.02,-0.001,0.005,-0.001,0.002,-0.005,0.001,0.03,0,-0.011,0,-0.047,0,0.019,0,0.042,0.022,0.027,0.027,0.027,0.019,0.004,0.005,0.005,0.005,0.004,0.004,0,0.002,0,0.003,0,0.013,0.007,21.911,35.056,-0.99,0.134,-0.748,-0.035,1.301,-0.197,0.362,-1.015,0.293,8.47,4.222,-5.993,-6.569,-13.823,25.91,1.482,-0.003,0,0,0.322,0.893,0.455,0.972,0.193,0.844,0.717,0.31,0.77,0,0,0,0,0,0,0.138,0.998
MCK,0.101,0.843,-0.021,-0.03,0.016,0.012,-0.006,0.001,0.008,-0.01,0.006,0.087,0,-0.086,0,-0.053,0,NA,0.014,0.023,0.023,0.029,0.029,0.029,0.021,0.004,0.005,0.005,0.005,0.004,0.005,0,0.011,0,0.004,0,NA,0.017,4.408,37.192,-0.722,-1.021,0.54,0.548,-1.7,0.228,1.526,-2.027,1.514,18.474,-1.532,-7.859,6.797,-12.394,19.724,NA,0.869,0,0,0.471,0.307,0.589,0.584,0.089,0.82,0.127,0.043,0.13,0,0.126,0,0,0,0,NA,0.385
LMT,0.662,0.79,0.061,-0.053,-0.033,0.077,0.006,-0.011,-0.003,-0.013,0.025,0.006,0,0.002,0,-0.045,0,0.004,0.01,0.034,0.021,0.027,0.027,0.027,0.02,0.004,0.005,0.005,0.005,0.004,0.002,0,0.002,0,0.003,0,0.013,0.009,19.644,37.048,2.247,-1.931,-1.221,3.928,1.422,-2.014,-0.562,-2.49,6.03,2.569,4.163,1.171,-3.278,-13.31,21.679,0.274,1.128,0,0,0.025,0.054,0.222,0,0.155,0.044,0.574,0.013,0,0.01,0,0.242,0.001,0,0,0.784,0.26
DRI,0.726,0.883,-0.01,0.023,-0.088,0.013,0.005,-0.007,-0.002,-0.019,0.017,-0.009,-0.012,-0.018,0,-0.068,0,-0.041,0.074,0.057,0.024,0.031,0.032,0.031,0.024,0.002,0.003,0.003,0.003,0.002,0.006,0.001,0.004,0,0.006,0,0.011,0.017,12.664,37.229,-0.316,0.722,-2.813,0.535,2.34,-2.25,-0.598,-6.355,7.944,-1.434,-8.997,-4.394,1.737,-11.825,15.683,-3.6,4.464,0,0,0.752,0.47,0.005,0.593,0.019,0.025,0.55,0,0,0.152,0,0,0.083,0,0,0,0
DGX,0.258,0.845,0.034,0.055,-0.089,0.037,0.006,-0.007,0.005,-0.011,0.006,0.021,-0.007,-0.005,0,-0.047,0,NA,NA,0.026,0.022,0.029,0.029,0.029,0.021,0.004,0.005,0.005,0.005,0.004,0.004,0.007,0.002,0,0.004,0,NA,NA,10.092,37.595,1.184,1.887,-3.063,1.756,1.587,-1.24,0.847,-1.953,1.558,4.731,-1.007,-2.699,-1.271,-12.48,15.254,NA,NA,0,0,0.237,0.059,0.002,0.079,0.113,0.215,0.397,0.051,0.119,0,0.314,0.007,0.204,0,0,NA,NA
PXD,1.874,0.774,0.051,-0.071,0.027,-0.012,-0.005,0.003,-0.003,0.001,0.001,-0.104,-0.001,-0.006,-0.002,-0.06,0,NA,NA,0.095,0.022,0.027,0.027,0.027,0.02,0.002,0.004,0.004,0.004,0.002,0.006,0.003,0.001,0,0.007,0,NA,NA,19.781,35.519,1.859,-2.607,0.98,-0.584,-2.047,0.774,-0.901,0.288,0.225,-16.972,-0.245,-5.514,-16.271,-9.009,20.598,NA,NA,0,0,0.063,0.009,0.327,0.559,0.041,0.439,0.367,0.774,0.822,0,0.806,0,0,0,0,NA,NA
VLO,0.216,0.727,-0.003,0.059,-0.043,0.032,0.002,-0.006,0.006,-0.015,0.014,0.068,-0.009,0.012,0,-0.054,0,NA,NA,0.023,0.022,0.027,0.027,0.027,0.02,0.002,0.003,0.003,0.003,0.002,0.004,0.001,0.004,0,0.006,0,NA,NA,9.565,32.679,-0.104,2.161,-1.584,1.587,1.141,-2.477,2.198,-5.777,7.251,18.949,-7.279,3.003,-4.242,-8.502,23.529,NA,NA,0,0,0.917,0.031,0.113,0.113,0.254,0.013,0.028,0,0,0,0,0.003,0,0,0,NA,NA
YUM,-0.058,0.95,-0.01,0.05,-0.06,0.06,-0.001,-0.002,0,-0.004,0.007,0.013,NA,0,0,-0.06,0,-0.01,0.026,0.02,0.023,0.031,0.031,0.031,0.023,0.001,0.002,0.002,0.002,0.001,0.005,NA,0.002,0,0.004,0,0.011,0.016,-2.931,41.778,-0.329,1.636,-1.941,2.648,-0.418,-1.213,-0.041,-2.48,5.685,2.729,NA,0.29,-3.698,-14.512,1.854,-0.935,1.633,0.003,0,0.742,0.102,0.052,0.008,0.676,0.225,0.967,0.013,0,0.006,NA,0.772,0,0,0.064,0.35,0.103
FE,1.181,0.811,-0.068,0.012,-0.026,0.016,0.007,-0.001,-0.009,0.002,0.004,-0.063,0.004,0.033,-0.001,-0.025,0,-0.02,-0.022,0.05,0.023,0.03,0.03,0.03,0.021,0.003,0.004,0.004,0.004,0.003,0.004,0,0.006,0,0.004,0,0.009,0.009,23.45,35.112,-2.277,0.396,-0.869,0.767,2.4,-0.278,-2.164,0.594,1.284,-17.707,8.739,5.855,-10.779,-6.405,24.933,-2.285,-2.402,0,0,0.023,0.692,0.385,0.443,0.016,0.781,0.031,0.552,0.199,0,0,0,0,0,0,0.022,0.016
SEE,-0.073,0.843,-0.059,0.117,-0.051,0.003,0.001,0.001,0.001,-0.005,0.003,0.065,0,0,0,-0.051,0,0,-0.004,0.013,0.023,0.029,0.029,0.029,0.022,0.002,0.002,0.002,0.002,0.002,0.004,0,0.002,0,0.005,0,0.018,0.018,-5.426,36.92,-2.039,4.033,-1.764,0.149,0.467,0.478,0.495,-2.488,1.719,16.05,-3.026,-0.203,-4.932,-10.515,16.365,0.017,-0.24,0,0,0.042,0,0.078,0.881,0.641,0.633,0.62,0.013,0.086,0,0.003,0.839,0,0,0,0.986,0.811
