company,estimate_(Intercept),"estimate_lag(logS, 1)","estimate_lag(logS, 2)","estimate_lag(CDS, 1)","estimate_lag(CDS, 2)",estimate_SPY,estimate_L,estimate_Q,estimate_VIX,estimate_VIX_var,estimate_MC,estimate_U,estimate_D,std.error_(Intercept),"std.error_lag(logS, 1)","std.error_lag(logS, 2)","std.error_lag(CDS, 1)","std.error_lag(CDS, 2)",std.error_SPY,std.error_L,std.error_Q,std.error_VIX,std.error_VIX_var,std.error_MC,std.error_U,std.error_D,statistic_(Intercept),"statistic_lag(logS, 1)","statistic_lag(logS, 2)","statistic_lag(CDS, 1)","statistic_lag(CDS, 2)",statistic_SPY,statistic_L,statistic_Q,statistic_VIX,statistic_VIX_var,statistic_MC,statistic_U,statistic_D,p.value_(Intercept),"p.value_lag(logS, 1)","p.value_lag(logS, 2)","p.value_lag(CDS, 1)","p.value_lag(CDS, 2)",p.value_SPY,p.value_L,p.value_Q,p.value_VIX,p.value_VIX_var,p.value_MC,p.value_U,p.value_D
CPB,-1.668,0.539,0.135,1.007,-0.013,-0.031,0.001,0.037,-0.001,0.249,-0,-0.183,-0.189,0.332,0.192,0.153,0.022,0.022,0.011,0.001,0.028,0,0.028,0,0.109,0.077,-5.023,2.806,0.883,44.99,-0.587,-2.809,0.507,1.343,-1.461,8.919,-6.035,-1.688,-2.465,0,0.005,0.377,0,0.557,0.005,0.612,0.179,0.144,0,0,0.092,0.014
CAG,-0.043,-0.382,0.401,0.985,0.004,0.001,-0.003,-0.02,-0,0.33,-0,0.087,-0.27,0.112,0.173,0.17,0.023,0.023,0.019,0.009,0.018,0,0.034,0,0.093,0.093,-0.387,-2.205,2.36,43.197,0.19,0.03,-0.354,-1.125,-0.074,9.835,-0.802,0.942,-2.903,0.699,0.028,0.018,0,0.849,0.976,0.724,0.261,0.941,0,0.422,0.346,0.004
GLW,-0.46,-0.15,0.133,0.924,0.073,0.051,0.054,-0.01,0.001,0.014,-0,0.002,0.108,0.168,0.07,0.068,0.022,0.022,0.018,0.012,0.004,0,0.015,0,0.058,0.058,-2.735,-2.134,1.953,41.338,3.294,2.801,4.469,-2.57,4.384,0.906,-0.119,0.028,1.86,0.006,0.033,0.051,0,0.001,0.005,0,0.01,0,0.365,0.905,0.978,0.063
DHR,-0.314,0.198,-0.154,0.978,0.003,-0,0.045,0,0.001,0.054,-0,-0.044,0.192,0.237,0.106,0.105,0.023,0.023,0.04,0.019,0.003,0,0.018,0,0.036,0.051,-1.326,1.874,-1.473,43.385,0.123,-0.009,2.357,0.069,1.947,2.904,-2.688,-1.233,3.777,0.185,0.061,0.141,0,0.902,0.993,0.019,0.945,0.052,0.004,0.007,0.218,0
TGT,-0.282,-0.012,0.167,0.982,0.022,-0.052,0.03,0.045,-0,0.219,-0,NA,0.009,0.205,0.094,0.091,0.024,0.024,0.024,0.013,0.02,0,0.019,0,NA,0.074,-1.37,-0.124,1.839,40.083,0.9,-2.16,2.345,2.236,-1.594,11.424,-4.905,NA,0.124,0.171,0.902,0.066,0,0.368,0.031,0.019,0.025,0.111,0,0,NA,0.902
DE,0.456,-0.151,0.222,0.946,0.048,-0.102,-0.001,-0.018,0.001,0.272,-0,NA,NA,0.172,0.101,0.098,0.023,0.023,0.034,0.002,0.035,0,0.021,0,NA,NA,2.657,-1.489,2.265,40.852,2.069,-3.014,-0.864,-0.519,1.99,12.862,-1.085,NA,NA,0.008,0.137,0.024,0,0.039,0.003,0.388,0.604,0.047,0,0.278,NA,NA
D,-0.974,0.118,-0,0.92,0.065,0.065,0.002,0.068,0.001,0.159,-0,NA,0.186,0.203,0.097,0.093,0.022,0.022,0.013,0.006,0.029,0,0.016,0,NA,0.062,-4.796,1.224,-0.004,41.935,2.949,5.11,0.328,2.343,4.785,9.993,-5.043,NA,3.026,0,0.221,0.997,0,0.003,0,0.743,0.019,0,0,0,NA,0.003
FDX,-0.772,0.019,0.175,1.041,-0.066,-0.003,-0.005,-0.017,0.002,0.081,-0,NA,NA,0.327,0.121,0.109,0.023,0.023,0.023,0.011,0.019,0,0.025,0,NA,NA,-2.361,0.159,1.605,45.043,-2.856,-0.147,-0.438,-0.904,5.301,3.249,-4.716,NA,NA,0.018,0.874,0.109,0,0.004,0.883,0.661,0.366,0,0.001,0,NA,NA
F,-2.085,-1.461,2.627,1.009,-0.043,-0.111,0.008,0.175,0.041,0.361,-0,-0.213,-6.375,0.755,0.684,0.613,0.023,0.022,0.106,0.027,0.101,0.003,0.162,0,0.433,0.441,-2.761,-2.134,4.285,43.575,-1.92,-1.049,0.291,1.736,14.004,2.224,-4.497,-0.491,-14.469,0.006,0.033,0,0,0.055,0.294,0.771,0.083,0,0.026,0,0.624,0
FCX,-0.967,-2.686,2.998,0.94,0.056,0.063,-0.044,0.02,0.01,1.61,-0,0.123,-0.411,1.647,0.594,0.567,0.026,0.025,0.163,0.028,0.069,0.003,0.208,0,0.464,0.564,-0.587,-4.522,5.288,36.671,2.195,0.387,-1.571,0.287,3.657,7.752,-2.268,0.266,-0.728,0.557,0,0,0,0.028,0.699,0.116,0.774,0,0,0.023,0.79,0.467
