company,estimate_(Intercept),"estimate_lag(logS, 1)","estimate_lag(logS, 2)","estimate_lag(logS, 3)","estimate_lag(logS, 4)","estimate_lag(logS, 5)","estimate_lag(CDS, 1)","estimate_lag(CDS, 2)","estimate_lag(CDS, 3)","estimate_lag(CDS, 4)","estimate_lag(CDS, 5)",estimate_SPY,estimate_L,estimate_Q,estimate_VIX,estimate_VIX_var,estimate_MC,estimate_U,estimate_D,std.error_(Intercept),"std.error_lag(logS, 1)","std.error_lag(logS, 2)","std.error_lag(logS, 3)","std.error_lag(logS, 4)","std.error_lag(logS, 5)","std.error_lag(CDS, 1)","std.error_lag(CDS, 2)","std.error_lag(CDS, 3)","std.error_lag(CDS, 4)","std.error_lag(CDS, 5)",std.error_SPY,std.error_L,std.error_Q,std.error_VIX,std.error_VIX_var,std.error_MC,std.error_U,std.error_D,statistic_(Intercept),"statistic_lag(logS, 1)","statistic_lag(logS, 2)","statistic_lag(logS, 3)","statistic_lag(logS, 4)","statistic_lag(logS, 5)","statistic_lag(CDS, 1)","statistic_lag(CDS, 2)","statistic_lag(CDS, 3)","statistic_lag(CDS, 4)","statistic_lag(CDS, 5)",statistic_SPY,statistic_L,statistic_Q,statistic_VIX,statistic_VIX_var,statistic_MC,statistic_U,statistic_D,p.value_(Intercept),"p.value_lag(logS, 1)","p.value_lag(logS, 2)","p.value_lag(logS, 3)","p.value_lag(logS, 4)","p.value_lag(logS, 5)","p.value_lag(CDS, 1)","p.value_lag(CDS, 2)","p.value_lag(CDS, 3)","p.value_lag(CDS, 4)","p.value_lag(CDS, 5)",p.value_SPY,p.value_L,p.value_Q,p.value_VIX,p.value_VIX_var,p.value_MC,p.value_U,p.value_D
OXY,6.324,-1.941,0.963,-0.195,0.663,0.005,0.913,0.054,-0.145,0.018,0.099,-0.605,-0.01,-0.078,0.041,0.259,-0,-0.379,1.465,1.123,0.511,0.7,0.701,0.7,0.502,0.025,0.035,0.035,0.035,0.025,0.102,0.012,0.126,0.003,0.175,0,0.296,0.383,5.633,-3.8,1.376,-0.278,0.947,0.01,36.045,1.543,-4.178,0.506,4.03,-5.92,-0.887,-0.62,13.151,1.475,-0.282,-1.28,3.827,0,0,0.169,0.781,0.344,0.992,0,0.123,0,0.613,0,0,0.375,0.536,0,0.14,0.778,0.201,0
OMC,-0.893,0.385,0.03,0.423,-0.084,-0.005,0.874,0.051,0.037,0.107,-0.096,-0.203,-0.008,0.185,-0.001,0.17,-0,NA,NA,0.135,0.131,0.149,0.149,0.149,0.108,0.023,0.03,0.03,0.03,0.023,0.024,0.002,0.051,0,0.021,0,NA,NA,-6.615,2.946,0.201,2.848,-0.561,-0.048,38.685,1.712,1.223,3.547,-4.248,-8.557,-3.617,3.649,-1.9,7.952,-9.956,NA,NA,0,0.003,0.841,0.004,0.575,0.961,0,0.087,0.221,0,0,0,0,0,0.058,0,0,NA,NA
COP,-1.972,-0.696,0.519,0.576,1.58,-1.439,0.954,0.104,-0.109,0.205,-0.158,0.034,-0.022,-0.051,0.004,0.487,-0,0.185,0.974,0.53,0.31,0.398,0.398,0.399,0.29,0.024,0.033,0.033,0.033,0.024,0.044,0.019,0.036,0.001,0.081,0,0.215,0.216,-3.719,-2.248,1.304,1.448,3.963,-4.971,39.851,3.137,-3.332,6.225,-6.646,0.77,-1.13,-1.42,3.714,6.032,-4.786,0.862,4.501,0,0.025,0.192,0.148,0,0,0,0.002,0.001,0,0,0.442,0.259,0.156,0,0,0,0.389,0
PHM,1.689,-2.946,2.341,1.113,0.702,-0.527,0.917,0.09,-0.031,0.118,-0.109,-0.44,-0.11,-0.024,0.001,0.701,-0,-0.046,NA,0.559,0.302,0.381,0.384,0.385,0.294,0.025,0.033,0.033,0.033,0.023,0.1,0.05,0.037,0.001,0.074,0,0.28,NA,3.02,-9.749,6.148,2.898,1.826,-1.795,37.304,2.686,-0.938,3.565,-4.681,-4.413,-2.2,-0.648,0.986,9.497,-5.335,-0.164,NA,0.003,0,0,0.004,0.068,0.073,0,0.007,0.349,0,0,0,0.028,0.517,0.324,0,0,0.87,NA
PPG,-0.075,0.003,-0.052,0.061,-0.014,0.009,0.715,0.272,0.039,0.01,-0.04,0.008,0,0.001,0,0.011,-0,0.057,-0.007,0.106,0.055,0.061,0.061,0.061,0.044,0.022,0.027,0.028,0.027,0.022,0.009,0.002,0.004,0,0.01,0,0.036,0.037,-0.71,0.048,-0.858,1.001,-0.233,0.212,31.956,9.913,1.399,0.384,-1.794,0.841,0.082,0.193,0.172,1.144,-0.793,1.589,-0.178,0.478,0.962,0.391,0.317,0.816,0.832,0,0,0.162,0.701,0.073,0.4,0.934,0.847,0.863,0.253,0.428,0.112,0.859
SHW,-1.497,-0.615,0.187,0.227,1.502,-1.155,0.887,0.032,0.028,0.207,-0.171,0.114,0,0.07,0.001,0.299,-0,0.094,-0.082,0.52,0.188,0.254,0.253,0.253,0.185,0.023,0.032,0.032,0.032,0.023,0.075,0.003,0.03,0.001,0.035,0,0.095,0.135,-2.881,-3.274,0.738,0.895,5.942,-6.232,37.877,1.01,0.898,6.545,-7.325,1.517,0.068,2.297,1.245,8.65,-4.155,0.986,-0.608,0.004,0.001,0.461,0.371,0,0,0,0.313,0.369,0,0,0.13,0.946,0.022,0.213,0,0,0.324,0.543
LUV,-0.335,-0.746,0.697,0.223,0.991,-0.737,0.97,-0.029,-0.029,0.307,-0.246,-0.093,-0.008,0.053,0.002,0.309,-0,-0.056,2.089,0.492,0.337,0.426,0.43,0.424,0.314,0.022,0.031,0.031,0.031,0.022,0.075,0.031,0.034,0.002,0.084,0,0.223,0.33,-0.682,-2.215,1.637,0.519,2.34,-2.35,43.205,-0.921,-0.924,9.891,-11.079,-1.234,-0.247,1.577,1.446,3.691,-3.951,-0.249,6.333,0.495,0.027,0.102,0.604,0.019,0.019,0,0.357,0.356,0,0,0.217,0.805,0.115,0.148,0,0,0.804,0
SWK,-0.08,0.062,-0.068,-0.005,-0.034,0.049,0.91,0.09,-0.02,-0.001,0.007,0.003,0.007,-0.012,0.001,-0.022,-0,NA,NA,0.305,0.113,0.147,0.147,0.147,0.105,0.022,0.03,0.03,0.03,0.023,0.021,0.01,0.03,0,0.027,0,NA,NA,-0.263,0.545,-0.46,-0.036,-0.229,0.466,40.49,2.949,-0.666,-0.04,0.319,0.15,0.735,-0.4,1.813,-0.844,-0.163,NA,NA,0.792,0.586,0.646,0.972,0.819,0.642,0,0.003,0.505,0.968,0.749,0.881,0.462,0.689,0.07,0.399,0.871,NA,NA
TXT,-0.411,-0.238,0.249,-0.06,0.171,-0.105,0.836,0.221,-0.108,0.029,0.011,0.04,0.002,0.016,0.003,0.045,-0,0.007,0.027,0.112,0.08,0.097,0.097,0.097,0.071,0.023,0.029,0.03,0.029,0.023,0.02,0.004,0.024,0,0.019,0,0.05,0.073,-3.665,-2.992,2.572,-0.615,1.771,-1.474,36.773,7.516,-3.64,0.976,0.481,1.997,0.48,0.671,9.227,2.337,-1.041,0.149,0.366,0,0.003,0.01,0.539,0.077,0.141,0,0,0,0.329,0.631,0.046,0.631,0.502,0,0.02,0.298,0.882,0.715
TJX,-5.078,1.167,-0.252,0.683,0.043,0.349,0.166,0.154,0.151,0.151,0.15,-0.144,-0.005,0.043,-0.003,-0.128,-0,NA,0.692,1.15,0.666,0.812,0.812,0.813,0.588,0.022,0.022,0.022,0.022,0.022,0.133,0.018,0.076,0.002,0.128,0,NA,0.509,-4.415,1.752,-0.31,0.84,0.053,0.594,7.472,6.904,6.768,6.809,6.729,-1.08,-0.304,0.575,-1.672,-1.004,-5.449,NA,1.36,0,0.08,0.757,0.401,0.958,0.552,0,0,0,0,0,0.28,0.761,0.565,0.095,0.316,0,NA,0.174
