Date,Price,Open,High,Low,Vol.,Change %
12/13/2024,"114,301.80","114,627.54","115,172.44","112,609.25",479749698,0.11%
12/12/2024,"114,180.50","111,308.66","114,408.62","111,308.65",636222242,3.04%
12/11/2024,"110,810.21","109,455.51","111,012.01","109,416.32",509284555,1.76%
12/10/2024,"108,896.65","110,738.04","111,759.58","107,711.40",669926243,-0.98%
12/09/2024,"109,970.38","109,094.07","110,358.85","107,625.91",719554091,0.84%
12/06/2024,"109,053.95","108,864.72","109,478.08","108,550.86",658756292,0.75%
12/05/2024,"108,238.96","105,661.16","108,345.98","105,448.05",721594986,2.98%
12/04/2024,"105,104.33","105,080.29","105,473.56","104,315.41",697648587,0.52%
12/03/2024,"104,559.07","103,520.00","104,680.88","102,825.59",756590949,1.24%
12/02/2024,"103,274.94","101,921.21","103,386.46","101,921.20",695792396,1.89%
11/29/2024,"101,357.32","100,393.16","101,496.17","99,822.61",454634490,1.27%
11/28/2024,"100,082.77","100,059.29","100,540.29","99,354.24",555937638,0.82%
11/27/2024,"99,269.25","97,425.06","99,549.81","97,188.27",495792767,4.96%
11/26/2024,"94,574.16","98,049.38","99,819.59","94,180.59",517935877,-3.57%
11/25/2024,"98,079.78","97,851.82","99,317.47","97,137.63",281098386,0.29%
11/22/2024,"97,798.23","97,835.39","99,623.03","97,471.11",515073212,0.48%
11/21/2024,"97,328.39","95,674.50","97,437.15","95,300.21",323534561,1.86%
11/20/2024,"95,546.45","96,055.66","96,711.33","95,311.97",565381751,-0.32%
11/19/2024,"95,856.66","95,241.64","96,036.48","95,212.63",377888671,0.91%
11/18/2024,"94,995.67","95,060.85","95,307.91","94,620.44",277314752,0.24%
11/15/2024,"94,763.64","94,431.19","95,278.26","94,431.18",283270185,0.61%
11/14/2024,"94,191.89","93,672.72","94,289.97","93,672.72",255613987,0.90%
11/13/2024,"93,355.42","93,362.53","93,803.58","92,943.07",295673595,0.14%
