TypeCode,FreqCode,RefPeriodId,RefYear,RefMonth,Period,ReporterCode,ReporterISO,ReporterDesc,FlowCode,FlowDesc,PartnerCode,PartnerISO,PartnerDesc,Prtner2Code,Partner2ISO,Partner2Desc,ClassificationCode,ClassificationSearchCode,IsOriginalClassification,CmdCode,CmdDesc,AggrLevel,IsLeaf,CustomsCode,CustomsDesc,MosCode,MotCode,MotDesc,QtyUnitCode,QtyUnitAbbr,Qty,IsQtyEstimated,AltQtyUnitCode,AltQtyUnitAbbr,AtlQty,IsAltQtyEstimated,NetWgt,IsNetWgtEstimated,GrossWgt,IsGrossWgtEstimated,Cifvalue,Fobvalue,PrimaryValue,LegacyEstimationFlag,IsReported,IsAggregate
C,A,20160101,2016,52,2016,104,MMR,Myanmar,M,Import,0,W00,World,0,W00,World,H4,HS,TRUE,TOTAL,All Commodities,0,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,FALSE,-1,N/A,0,FALSE,,TRUE,0,FALSE,15695737667,,15695737667,4,FALSE,TRUE
C,A,20160101,2016,52,2016,104,MMR,Myanmar,X,Export,0,W00,World,0,W00,World,H4,HS,TRUE,TOTAL,All Commodities,0,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,FALSE,-1,N/A,0,FALSE,,TRUE,0,FALSE,,11672717460,11672717460,4,FALSE,TRUE
C,A,20160101,2016,52,2016,108,BDI,Burundi,M,Import,0,W00,World,0,W00,World,H4,HS,TRUE,TOTAL,All Commodities,0,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,FALSE,-1,N/A,,FALSE,,FALSE,,FALSE,625328492,,625328492,0,TRUE,FALSE
C,A,20160101,2016,52,2016,108,BDI,Burundi,X,Export,0,W00,World,0,W00,World,H4,HS,TRUE,TOTAL,All Commodities,0,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,FALSE,-1,N/A,,FALSE,,FALSE,,FALSE,,123055817,123055817,0,TRUE,FALSE
C,A,20160101,2016,52,2016,112,BLR,Belarus,M,Import,0,W00,World,0,W00,World,H4,HS,TRUE,TOTAL,All Commodities,0,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,FALSE,-1,N/A,,FALSE,,FALSE,,FALSE,27609883700,,27609883700,0,TRUE,FALSE
C,A,20160101,2016,52,2016,112,BLR,Belarus,X,Export,0,W00,World,0,W00,World,H4,HS,TRUE,TOTAL,All Commodities,0,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,FALSE,-1,N/A,,FALSE,,FALSE,,FALSE,,23537354500,23537354500,0,TRUE,FALSE
C,A,20160101,2016,52,2016,116,KHM,Cambodia,M,Import,0,W00,World,0,W00,World,H4,HS,TRUE,TOTAL,All Commodities,0,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,FALSE,-1,N/A,,FALSE,,FALSE,,FALSE,12371008437,,12371008437,0,TRUE,FALSE
C,A,20160101,2016,52,2016,116,KHM,Cambodia,X,Export,0,W00,World,0,W00,World,H4,HS,TRUE,TOTAL,All Commodities,0,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,FALSE,-1,N/A,,FALSE,,FALSE,,FALSE,,10069331577,10069331577,0,TRUE,FALSE
C,A,20160101,2016,52,2016,120,CMR,Cameroon,M,Import,0,W00,World,0,W00,World,H4,HS,TRUE,TOTAL,All Commodities,0,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,FALSE,-1,N/A,,FALSE,,FALSE,,FALSE,4898887030,,4898887030,0,TRUE,FALSE
C,A,20160101,2016,52,2016,120,CMR,Cameroon,X,Export,0,W00,World,0,W00,World,H4,HS,TRUE,TOTAL,All Commodities,0,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,FALSE,-1,N/A,,FALSE,,FALSE,,FALSE,,2130449501,2130449501,0,TRUE,FALSE
