"Date","Price","Open","High","Low","Vol.","Change %"
"05/31/2022","16,453.48","16,383.19","16,520.93","16,383.19","","0.43%"
"05/30/2022","16,383.19","16,276.12","16,465.14","16,276.12","","0.66%"
"05/27/2022","16,276.12","16,143.03","16,596.45","16,143.03","","0.82%"
"05/26/2022","16,143.03","15,913.04","16,159.22","15,853.69","","1.45%"
"05/25/2022","15,913.04","15,902.60","15,975.16","15,627.42","","0.07%"
"05/24/2022","15,902.60","16,092.94","16,178.45","15,891.57","","-1.18%"
"05/23/2022","16,092.94","16,367.11","16,367.11","16,074.35","","-1.68%"
"05/20/2022","16,367.11","16,350.07","16,433.62","16,319.95","","0.10%"
"05/19/2022","16,350.07","16,360.38","16,473.68","16,320.48","","-0.06%"
"05/18/2022","16,360.38","16,246.38","16,432.32","16,145.11","","0.70%"
"05/17/2022","16,246.38","16,212.92","16,312.66","16,171.19","","0.21%"
"05/16/2022","16,212.92","16,541.97","16,541.97","16,086.90","","-1.99%"
"05/13/2022","16,541.97","16,307.82","16,565.66","16,284.92","","1.44%"
"05/12/2022","16,307.82","16,303.90","16,374.73","16,047.67","","0.02%"
"05/11/2022","16,303.90","16,504.53","16,569.28","16,105.27","","-1.27%"
"05/10/2022","16,513.96","16,488.64","16,628.30","16,451.14","","-0.08%"
"05/09/2022","16,526.48","17,118.22","17,118.22","16,461.88","","-3.63%"
"05/06/2022","17,148.53","17,314.51","17,314.51","17,125.00","","-0.96%"
"04/28/2022","17,314.51","17,416.70","17,416.70","17,042.71","","-0.65%"
"04/27/2022","17,427.11","17,545.76","17,636.68","17,417.68","","-1.72%"
"04/26/2022","17,732.79","17,840.59","17,885.85","17,715.40","","-0.60%"
"04/25/2022","17,840.59","17,589.31","17,902.25","17,589.31","","1.43%"
"04/22/2022","17,589.31","17,569.94","17,642.36","17,562.42","","0.11%"
"04/21/2022","17,569.94","17,690.16","17,764.66","17,540.56","","-0.68%"
"04/20/2022","17,690.16","17,861.56","17,980.53","17,674.54","","-0.97%"
"04/19/2022","17,862.70","17,942.72","18,044.63","17,834.38","","-0.45%"
"04/18/2022","17,942.72","18,000.35","18,033.97","17,884.42","","0.20%"
"04/15/2022","17,906.20","17,899.59","18,011.97","17,871.67","","0.04%"
"04/14/2022","17,899.59","17,764.15","17,912.61","17,716.52","","0.76%"
"04/13/2022","17,764.15","17,814.39","17,956.37","17,721.07","","-0.28%"
"04/12/2022","17,814.39","17,703.87","17,828.35","17,601.92","","0.62%"
"04/11/2022","17,703.87","17,014.13","17,732.04","17,014.13","","4.05%"
"04/08/2022","17,014.13","16,708.08","17,051.27","16,708.08","","1.83%"
"04/07/2022","16,708.08","16,841.27","16,940.78","16,688.22","","-0.79%"
"04/06/2022","16,841.27","16,753.26","16,949.95","16,753.26","","0.53%"
"04/05/2022","16,753.26","16,736.71","16,921.66","16,666.17","","0.10%"
"04/04/2022","16,736.71","17,238.29","17,238.29","16,692.21","","-2.91%"
"04/01/2022","17,238.29","17,117.48","17,354.45","16,983.15","","0.71%"
"03/31/2022","17,117.48","16,917.06","17,128.68","16,917.06","","1.15%"
"03/30/2022","16,923.07","16,983.32","16,983.32","16,785.67","","-0.35%"
"03/29/2022","16,983.32","16,793.48","17,024.73","16,793.48","","1.13%"
"03/28/2022","16,793.48","16,657.48","16,806.27","16,529.67","","0.82%"
"03/25/2022","16,657.48","16,622.12","16,697.50","16,549.35","","0.21%"
"03/24/2022","16,622.12","16,471.60","16,648.95","16,367.45","","0.91%"
"03/22/2022","16,471.60","16,485.35","16,577.14","16,460.88","","-0.14%"
"03/21/2022","16,494.20","16,410.13","16,574.30","16,410.13","","0.37%"
"03/18/2022","16,434.06","16,782.87","16,782.87","16,419.52","","-2.33%"
"03/17/2022","16,825.47","16,898.06","16,988.07","16,820.68","","-1.13%"
"03/16/2022","17,018.56","16,917.79","17,134.59","16,917.79","","0.57%"
"03/15/2022","16,922.38","16,790.72","16,950.35","16,764.56","","0.60%"
"03/14/2022","16,820.79","16,931.85","16,999.43","16,793.37","","-0.91%"
"03/11/2022","16,976.08","17,076.51","17,144.99","16,961.73","","-0.59%"
"03/10/2022","17,076.51","16,747.77","17,123.91","16,747.77","","1.96%"
"03/09/2022","16,747.77","16,654.18","16,811.89","16,654.18","","0.47%"
"03/08/2022","16,668.91","16,824.73","16,929.38","16,627.63","","-0.93%"
"03/07/2022","16,824.73","17,384.10","17,384.10","16,742.64","","-3.47%"
"03/04/2022","17,428.85","17,409.86","17,492.99","17,388.04","","0.11%"
"03/03/2022","17,409.86","17,360.79","17,453.97","17,289.54","","0.28%"
"03/02/2022","17,360.79","17,464.64","17,464.64","17,196.03","","-0.59%"
"03/01/2022","17,464.64","17,312.87","17,617.66","17,312.87","","0.88%"
"02/28/2022","17,312.87","17,091.06","17,354.65","16,925.27","","1.30%"
"02/25/2022","17,091.06","17,049.99","17,231.43","17,033.64","","0.24%"
"02/24/2022","17,049.99","17,584.11","17,584.11","17,026.15","","-3.04%"
"02/23/2022","17,584.11","17,513.12","17,609.95","17,389.23","","0.41%"
"02/22/2022","17,513.12","17,680.69","17,680.69","17,379.88","","-0.95%"
"02/21/2022","17,680.69","17,803.93","17,817.23","17,669.65","","-0.69%"
"02/18/2022","17,803.93","17,698.88","17,818.15","17,698.88","","0.59%"
"02/17/2022","17,698.88","17,788.14","17,793.59","17,621.48","","-0.50%"
"02/16/2022","17,788.14","17,801.83","17,891.90","17,747.29","","-0.09%"
"02/15/2022","17,803.96","17,791.44","17,845.65","17,724.03","","0.07%"
"02/14/2022","17,791.44","17,968.10","18,001.69","17,742.21","","-0.98%"
"02/11/2022","17,968.10","17,933.41","18,030.20","17,892.78","","0.17%"
"02/10/2022","17,937.90","18,109.27","18,175.78","17,937.90","","-1.16%"
"02/09/2022","18,147.52","17,962.80","18,186.83","17,962.80","","1.03%"
"02/08/2022","17,962.80","17,926.27","18,020.33","17,879.56","","0.20%"
"02/07/2022","17,926.27","17,942.03","18,042.61","17,911.12","","-0.24%"
"02/04/2022","17,968.90","17,954.96","18,085.45","17,931.29","","0.08%"
"02/03/2022","17,954.96","18,069.22","18,188.66","17,935.45","","-0.63%"
"02/02/2022","18,069.22","17,889.46","18,085.12","17,889.46","","0.87%"
"02/01/2022","17,913.83","17,829.96","17,963.47","17,798.66","","0.47%"
"01/31/2022","17,829.96","17,699.83","17,882.13","17,699.83","","0.21%"
"01/28/2022","17,792.99","17,828.10","17,905.96","17,774.47","","-0.20%"
"01/27/2022","17,828.10","17,738.31","17,851.52","17,738.31","","0.51%"
"01/26/2022","17,738.31","17,696.27","17,770.77","17,619.30","","0.24%"
"01/25/2022","17,696.27","17,726.54","17,864.53","17,675.26","","-0.17%"
"01/24/2022","17,726.54","17,747.58","17,766.41","17,639.00","","-0.12%"
"01/21/2022","17,747.58","17,665.79","17,799.14","17,616.75","","0.46%"
"01/20/2022","17,665.79","17,651.77","17,695.75","17,427.73","","0.08%"
"01/19/2022","17,651.77","17,925.77","17,961.27","17,607.16","","-1.53%"
"01/18/2022","17,925.77","17,942.16","18,022.01","17,904.06","","-0.09%"
"01/17/2022","17,942.16","17,998.75","17,998.75","17,826.32","","-0.31%"
"01/14/2022","17,998.51","18,001.32","18,102.55","17,976.48","","-0.02%"
"01/13/2022","18,001.32","18,070.40","18,109.55","17,971.46","","-0.38%"
"01/12/2022","18,070.40","18,056.53","18,190.77","18,048.36","","0.08%"
"01/11/2022","18,056.53","18,077.65","18,154.76","17,901.89","","-0.12%"
"01/10/2022","18,077.65","17,898.39","18,118.33","17,805.00","","1.00%"
"01/07/2022","17,898.39","17,759.90","17,907.44","17,695.48","","0.78%"
"01/06/2022","17,759.90","17,870.29","17,880.88","17,725.87","","-0.62%"
"01/05/2022","17,870.29","17,859.43","17,887.31","17,796.26","","0.06%"
"01/04/2022","17,859.43","17,646.59","17,876.67","17,646.59","","1.21%"
"01/03/2022","17,646.59","17,501.69","17,653.80","17,455.37","","0.83%"
"12/31/2021","17,501.69","17,431.70","17,552.36","17,365.32","","0.40%"
"12/30/2021","17,431.70","17,368.84","17,495.93","17,368.84","","0.36%"
"12/29/2021","17,368.84","17,288.79","17,368.84","17,240.39","","0.46%"
"12/28/2021","17,288.79","17,232.48","17,341.16","17,232.48","","0.33%"
"12/27/2021","17,232.48","17,353.47","17,390.92","17,203.33","","-0.70%"
