date,open,hig,low ,close,volume ,change
26-Feb-24,"21,150.07","21,460.86","21,150.06","21,296.22","72,439,149",162.72
23-Feb-24,"20,800.15","21,182.40","20,765.59","21,133.50","72,187,385",282.73
22-Feb-24,"20,723.01","20,867.04","20,621.30","20,850.77","55,515,603",132.3
21-Feb-24,"20,560.54","20,737.87","20,489.08","20,718.47","52,315,941",420.88
20-Feb-24,"20,391.94","20,599.56","20,271.19","20,297.59","46,955,484",-49.26
19-Feb-24,"19,910.78","20,364.80","19,843.45","20,346.85","52,624,265",247.54
16-Feb-24,"20,385.19","20,567.03","20,034.23","20,099.31","73,090,997",-382.1
15-Feb-24,"21,007.15","21,007.15","20,442.50","20,481.41","61,397,050",-473.29
14-Feb-24,"20,847.26","21,092.31","20,795.39","20,954.70","88,960,078",269.59
13-Feb-24,"20,398.57","20,849.20","20,064.13","20,685.11","91,904,447",47.58
12-Feb-24,"21,063.12","21,140.57","20,464.56","20,637.53","67,411,755",-650.72
09-Feb-24,"21,352.45","21,429.34","20,763.26","21,288.25","79,284,776",-423.35
07-Feb-24,"21,663.30","21,734.27","21,632.46","21,711.60","74,165,378",111.43
06-Feb-24,"21,406.91","21,666.96","21,399.73","21,600.17","82,199,536",272.3
02-Feb-24,"21,167.24","21,347.60","21,099.88","21,327.87","53,730,993",178.31
01-Feb-24,"20,988.36","21,181.23","20,880.00","21,149.56","64,210,142",195.24
31-Jan-24,"20,979.15","21,178.30","20,922.99","20,954.32","48,326,317",80.94
30-Jan-24,"21,157.13","21,306.49","20,763.24","20,873.38","84,586,780",-272.43
29-Jan-24,"21,520.74","21,520.74","21,111.49","21,145.81","53,595,457",-388.35
26-Jan-24,"21,670.91","21,797.53","21,501.86","21,534.16","89,291,024",-164.62
25-Jan-24,"21,934.14","22,062.60","21,661.68","21,698.78","148,555,923",-208.02
24-Jan-24,"21,802.41","22,014.47","21,763.24","21,906.80","129,093,944",154.6
23-Jan-24,"21,671.65","21,843.27","21,430.96","21,752.20","143,656,598",150.95
22-Jan-24,"21,296.43","21,661.94","21,239.96","21,601.25","64,982,149",326.05
19-Jan-24,"21,292.56","21,504.19","21,248.80","21,275.20","31,608,895",34.78
18-Jan-24,"21,363.16","21,371.12","20,998.19","21,240.42","61,040,356",-113.82
17-Jan-24,"21,337.07","21,500.97","21,218.05","21,354.24","85,604,288",-1.67
16-Jan-24,"21,541.00","21,541.00","21,230.44","21,355.91","53,829,388",-192.5
15-Jan-24,"21,736.96","21,850.61","21,498.74","21,548.41","72,992,219",-82.44
12-Jan-24,"21,698.68","21,857.33","21,570.14","21,630.85","89,223,892",51.33
